"country_code","country_name","continent","date","stringency_index_x","government_response_index","containment_health_index","economic_support_index","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_movementrestrictions","c7_flag","c8_internationaltravel","e1_income_support","e1_flag","e2_debtrelief","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index_y","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"BHS","Bahamas","North America","2020-03-16",22.22,20.83,23.81,0,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,100,1,33,100,0,NA,0,NA,0,NA,1,1,NA,NA,NA,NA,2.519,2.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,396914,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA,NA,NA,NA
"BHS","Bahamas","North America","2020-03-17",22.22,23.96,23.81,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,50,100,1,33,100,0,NA,0,NA,0,NA,1,0,NA,NA,NA,NA,2.519,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,396914,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA,NA,NA,NA
"BHS","Bahamas","North America","2020-03-18",22.22,26.04,26.19,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,50,100,1,33,100,0,NA,0,NA,33,1,1,0,NA,NA,NA,NA,2.519,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,396914,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA,NA,NA,NA
"BHS","Bahamas","North America","2020-03-19",22.22,27.6,27.98,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,50,100,1,33,100,25,1,0,NA,33,1,3,2,NA,NA,NA,NA,7.558,5.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,396914,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA,NA,NA,NA
"BHS","Bahamas","North America","2020-03-20",74.07,56.77,61.31,25,100,1,100,1,100,1,100,1,100,1,66,1,0,NA,0,0,NA,50,100,1,33,100,25,1,0,NA,33,1,3,0,NA,NA,NA,NA,7.558,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.07,396914,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA,NA,NA,NA
"BHS","Bahamas","North America","2020-03-21",74.07,56.77,61.31,25,100,1,100,1,100,1,100,1,100,1,66,1,0,NA,0,0,NA,50,100,1,33,100,25,1,0,NA,33,1,4,1,0.571,NA,NA,NA,10.078,2.519,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.07,396914,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA,NA,NA,NA
"BHS","Bahamas","North America","2020-03-22",74.07,59.9,61.31,50,100,1,100,1,100,1,100,1,100,1,66,1,0,NA,0,50,1,50,100,1,33,100,25,1,0,NA,33,1,4,0,0.571,NA,NA,NA,10.078,0,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.07,396914,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA,NA,NA,NA
"BHS","Bahamas","North America","2020-03-23",74.07,59.9,61.31,50,100,1,100,1,100,1,100,1,100,1,66,1,0,NA,0,50,1,50,100,1,33,100,25,1,0,NA,33,1,4,0,0.429,NA,NA,NA,10.078,0,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.07,396914,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA,NA,NA,NA
"BHS","Bahamas","North America","2020-03-24",96.3,79.69,80.36,75,100,1,100,1,100,1,100,1,100,1,66,1,100,1,100,50,1,100,100,1,33,100,25,1,0,NA,100,1,5,1,0.571,NA,NA,NA,12.597,2.519,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,396914,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA,NA,NA,NA
"BHS","Bahamas","North America","2020-03-25",96.3,79.69,80.36,75,100,1,100,1,100,1,100,1,100,1,66,1,100,1,100,50,1,100,100,1,33,100,25,1,0,NA,100,1,5,0,0.571,NA,NA,NA,12.597,0,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,396914,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA,NA,NA,NA
