"country_code","country_name","continent","date","stringency_index_x","government_response_index","containment_health_index","economic_support_index","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_movementrestrictions","c7_flag","c8_internationaltravel","e1_income_support","e1_flag","e2_debtrelief","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index_y","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"BHR","Bahrain","Asia","2020-02-24",25,25.52,25.6,25,66,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,33,100,0,NA,0,NA,0,NA,1,1,NA,NA,NA,NA,0.572,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-02-25",25,25.52,25.6,25,66,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,33,100,0,NA,0,NA,0,NA,23,22,NA,NA,NA,NA,13.156,12.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-02-26",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,33,10,NA,NA,NA,NA,18.876,5.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-02-27",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,33,0,NA,NA,NA,NA,18.876,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-02-28",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,36,3,NA,NA,NA,NA,20.591,1.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-02-29",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,41,5,5.857,NA,NA,NA,23.451,2.86,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-01",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,47,6,6.714,NA,NA,NA,26.883,3.432,3.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-02",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,49,2,6.857,NA,NA,NA,28.027,1.144,3.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-03",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,49,0,3.714,NA,NA,NA,28.027,0,2.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-04",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,52,3,2.714,NA,NA,NA,29.743,1.716,1.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-05",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,55,3,3.143,NA,NA,NA,31.459,1.716,1.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5334,3.051,NA,NA,NA,NA,NA,"units unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-06",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,60,5,3.429,NA,NA,NA,34.319,2.86,1.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"units unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-07",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,85,25,6.286,NA,NA,NA,48.619,14.3,3.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6420,3.672,NA,NA,NA,NA,NA,"units unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-08",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,85,0,5.429,NA,NA,NA,48.619,0,3.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"units unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-09",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,95,10,6.571,NA,NA,NA,54.339,5.72,3.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7830,4.479,NA,NA,NA,NA,NA,"units unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-10",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,110,15,8.714,NA,NA,NA,62.918,8.58,4.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524,8354,4.778,0.3,NA,NA,NA,NA,"units unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-11",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,195,85,20.429,NA,NA,NA,111.537,48.619,11.685,NA,NA,NA,1.37,NA,NA,NA,NA,NA,NA,NA,NA,456,8810,5.039,0.261,NA,NA,NA,NA,"units unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-12",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,195,0,20,NA,NA,NA,111.537,0,11.44,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,232,9042,5.172,0.133,530,0.303,0.0377,26.5,"units unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
"BHR","Bahrain","Asia","2020-03-13",30.56,30.73,31.55,25,100,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,75,0,NA,50,100,1,66,100,0,NA,0,NA,0,NA,195,0,19.286,NA,NA,NA,111.537,0,11.031,NA,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562,0.321,0.0343,29.1,"units unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA
