"country_code","country_name","continent","date","stringency_index_x","government_response_index","containment_health_index","economic_support_index","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_movementrestrictions","c7_flag","c8_internationaltravel","e1_income_support","e1_flag","e2_debtrelief","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index_y","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"SWZ","Eswatini","Africa","2020-03-14",19.44,19.27,22.02,0,0,NA,0,NA,50,1,0,NA,0,NA,0,NA,0,NA,25,0,NA,0,100,1,33,100,0,NA,0,NA,0,NA,1,1,NA,NA,NA,NA,0.853,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,1172369,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,NA,NA,NA
"SWZ","Eswatini","Africa","2020-03-15",19.44,19.27,22.02,0,0,NA,0,NA,50,1,0,NA,0,NA,0,NA,0,NA,25,0,NA,0,100,1,33,100,0,NA,0,NA,0,NA,1,0,NA,NA,NA,NA,0.853,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,1172369,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,NA,NA,NA
"SWZ","Eswatini","Africa","2020-03-16",19.44,19.27,22.02,0,0,NA,0,NA,50,1,0,NA,0,NA,0,NA,0,NA,25,0,NA,0,100,1,33,100,0,NA,0,NA,0,NA,1,0,NA,NA,NA,NA,0.853,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,1172369,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,NA,NA,NA
"SWZ","Eswatini","Africa","2020-03-17",55.56,39.58,45.24,0,100,1,0,NA,100,1,75,1,0,NA,0,NA,50,1,75,0,NA,0,100,1,33,100,0,NA,0,NA,0,NA,1,0,NA,NA,NA,NA,0.853,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,1172369,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,NA,NA,NA
"SWZ","Eswatini","Africa","2020-03-18",55.56,39.58,45.24,0,100,1,0,NA,100,1,75,1,0,NA,0,NA,50,1,75,0,NA,0,100,1,33,100,0,NA,0,NA,0,NA,1,0,NA,NA,NA,NA,0.853,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,1172369,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,NA,NA,NA
"SWZ","Eswatini","Africa","2020-03-19",55.56,39.58,45.24,0,100,1,0,NA,100,1,75,1,0,NA,0,NA,50,1,75,0,NA,0,100,1,33,100,0,NA,0,NA,0,NA,1,0,0.143,NA,NA,NA,0.853,0,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,1172369,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,NA,NA,NA
"SWZ","Eswatini","Africa","2020-03-20",55.56,39.58,45.24,0,100,1,0,NA,100,1,75,1,0,NA,0,NA,50,1,75,0,NA,0,100,1,33,100,0,NA,0,NA,0,NA,1,0,0.143,NA,NA,NA,0.853,0,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,1172369,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,NA,NA,NA
"SWZ","Eswatini","Africa","2020-03-21",55.56,39.58,45.24,0,100,1,0,NA,100,1,75,1,0,NA,0,NA,50,1,75,0,NA,0,100,1,33,100,0,NA,0,NA,0,NA,1,0,0,NA,NA,NA,0.853,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,1172369,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,NA,NA,NA
"SWZ","Eswatini","Africa","2020-03-22",55.56,39.58,45.24,0,100,1,0,NA,100,1,75,1,0,NA,0,NA,50,1,75,0,NA,0,100,1,33,100,0,NA,0,NA,0,NA,4,3,0.429,NA,NA,NA,3.412,2.559,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,1172369,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,NA,NA,NA
"SWZ","Eswatini","Africa","2020-03-23",55.56,42.71,45.24,25,100,1,0,NA,100,1,75,1,0,NA,0,NA,50,1,75,0,NA,50,100,1,33,100,0,NA,0,NA,0,NA,4,0,0.429,NA,NA,NA,3.412,0,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,1172369,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,NA,NA,NA
