"country_code","country_name","continent","date","stringency_index_x","government_response_index","containment_health_index","economic_support_index","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_movementrestrictions","c7_flag","c8_internationaltravel","e1_income_support","e1_flag","e2_debtrelief","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index_y","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"RKS","Kosovo","Europe","2020-03-14",70.37,44.79,51.19,0,100,1,0,NA,100,1,75,1,100,1,33,1,100,0,100,0,NA,0,50,1,33,50,0,NA,0,NA,0,NA,2,2,NA,NA,NA,NA,1.122,1.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.37,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-15",83.33,52.08,59.52,0,100,1,66,1,100,1,75,1,100,1,33,1,100,0,100,0,NA,0,100,1,33,50,0,NA,0,NA,0,NA,5,3,NA,NA,NA,NA,2.806,1.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-16",83.33,52.08,59.52,0,100,1,66,1,100,1,75,1,100,1,33,1,100,0,100,0,NA,0,100,1,33,50,0,NA,0,NA,0,NA,13,8,NA,NA,NA,NA,7.295,4.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-17",83.33,52.08,59.52,0,100,1,66,1,100,1,75,1,100,1,33,1,100,0,100,0,NA,0,100,1,33,50,0,NA,0,NA,0,NA,16,3,NA,NA,NA,NA,8.978,1.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-18",83.33,55.21,59.52,25,100,1,66,1,100,1,75,1,100,1,33,1,100,0,100,0,NA,50,100,1,33,50,0,NA,0,NA,0,NA,19,3,NA,NA,NA,NA,10.661,1.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-19",83.33,55.21,59.52,25,100,1,66,1,100,1,75,1,100,1,33,1,100,0,100,0,NA,50,100,1,33,50,0,NA,0,NA,0,NA,20,1,2.857,NA,NA,NA,11.223,0.561,1.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-20",83.33,55.21,59.52,25,100,1,66,1,100,1,75,1,100,1,33,1,100,0,100,0,NA,50,100,1,33,50,0,NA,0,NA,0,NA,21,1,3,NA,NA,NA,11.784,0.561,1.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-21",83.33,55.21,59.52,25,100,1,66,1,100,1,75,1,100,1,33,1,100,0,100,0,NA,50,100,1,33,50,0,NA,0,NA,0,NA,24,3,3.143,NA,NA,NA,13.467,1.683,1.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-22",83.33,55.21,59.52,25,100,1,66,1,100,1,75,1,100,1,33,1,100,0,100,0,NA,50,100,1,33,50,0,NA,0,NA,0,NA,31,7,3.714,NA,NA,NA,17.395,3.928,2.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-23",89.81,63.02,68.45,25,100,1,66,1,100,1,100,1,100,1,66,1,100,0,100,0,NA,50,100,1,33,50,0,NA,0,NA,66,1,33,2,2.857,1,1,0.143,18.517,1.122,1.603,0.561,0.561,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.81,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-24",92.59,64.58,70.24,25,100,1,66,1,100,1,100,1,100,1,66,1,100,1,100,0,NA,50,100,1,33,50,0,NA,0,NA,66,1,61,28,6.429,1,0,0.143,34.229,15.712,3.607,0.561,0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-25",92.59,64.58,70.24,25,100,1,66,1,100,1,100,1,100,1,66,1,100,1,100,0,NA,50,100,1,33,50,0,NA,0,NA,66,1,63,2,6.286,1,0,0.143,35.351,1.122,3.527,0.561,0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-26",92.59,64.58,70.24,25,100,1,66,1,100,1,100,1,100,1,66,1,100,1,100,0,NA,50,100,1,33,50,0,NA,0,NA,66,1,71,8,7.286,1,0,0.143,39.84,4.489,4.088,0.561,0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-27",92.59,64.58,70.24,25,100,1,66,1,100,1,100,1,100,1,66,1,100,1,100,0,NA,50,100,1,33,50,0,NA,0,NA,66,1,86,15,9.286,1,0,0.143,48.257,8.417,5.211,0.561,0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-28",92.59,64.58,70.24,25,100,1,66,1,100,1,100,1,100,1,66,1,100,1,100,0,NA,50,100,1,33,50,0,NA,0,NA,66,1,88,2,9.143,1,0,0.143,49.38,1.122,5.13,0.561,0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-29",92.59,64.58,70.24,25,100,1,66,1,100,1,100,1,100,1,66,1,100,1,100,0,NA,50,100,1,33,50,0,NA,0,NA,66,1,91,3,8.571,1,0,0.143,51.063,1.683,4.81,0.561,0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-30",92.59,66.15,70.24,37.5,100,1,66,1,100,1,100,1,100,1,66,1,100,1,100,50,0,50,100,1,33,50,0,NA,0,NA,66,1,94,3,8.714,1,0,0,52.746,1.683,4.89,0.561,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-03-31",92.59,66.15,70.24,37.5,100,1,66,1,100,1,100,1,100,1,66,1,100,1,100,50,0,50,100,1,33,50,0,NA,0,NA,66,1,106,12,6.429,1,0,0,59.48,6.734,3.607,0.561,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,-9.8,-0.38,-2,-5.49908395361691
"RKS","Kosovo","Europe","2020-04-01",92.59,69.27,70.24,62.5,100,1,66,1,100,1,100,1,100,1,66,1,100,1,100,50,0,100,100,1,33,50,0,NA,0,NA,66,1,112,6,7,1,0,0,62.847,3.367,3.928,0.561,0,0,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-04-02",92.59,69.27,70.24,62.5,100,1,66,1,100,1,100,1,100,1,66,1,100,1,100,50,0,100,100,1,33,50,0,NA,0,NA,66,1,125,13,7.714,1,0,0,70.141,7.295,4.329,0.561,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKS","Kosovo","Europe","2020-04-03",92.59,69.27,70.24,62.5,100,1,66,1,100,1,100,1,100,1,66,1,100,1,100,50,0,100,100,1,33,50,0,NA,0,NA,66,1,126,1,5.714,1,0,0,70.703,0.561,3.206,0.561,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,1782115,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
