"country_code","country_name","continent","date","stringency_index_x","government_response_index","containment_health_index","economic_support_index","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_movementrestrictions","c7_flag","c8_internationaltravel","e1_income_support","e1_flag","e2_debtrelief","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index_y","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"LAO","Laos","Asia","2020-03-24",25.93,21.35,24.4,0,100,1,33,1,50,1,0,NA,0,NA,0,NA,0,NA,50,0,NA,0,0,NA,33,50,25,1,0,NA,0,NA,2,2,NA,NA,NA,NA,0.271,0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.93,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,NA,NA,NA,NA
"LAO","Laos","Asia","2020-03-25",25.93,21.35,24.4,0,100,1,33,1,50,1,0,NA,0,NA,0,NA,0,NA,50,0,NA,0,0,NA,33,50,25,1,0,NA,0,NA,3,1,NA,NA,NA,NA,0.407,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.93,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,NA,NA,NA,NA
"LAO","Laos","Asia","2020-03-26",28.7,22.92,26.19,0,100,1,33,1,50,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,0,NA,33,50,25,1,0,NA,0,NA,6,3,NA,NA,NA,NA,0.813,0.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,NA,NA,NA,NA
"LAO","Laos","Asia","2020-03-27",28.7,22.92,26.19,0,100,1,33,1,50,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,0,NA,33,50,25,1,0,NA,0,NA,6,0,NA,NA,NA,NA,0.813,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,NA,NA,NA,NA
"LAO","Laos","Asia","2020-03-28",28.7,22.92,26.19,0,100,1,33,1,50,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,0,NA,33,50,25,1,0,NA,0,NA,8,2,NA,NA,NA,NA,1.084,0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,NA,NA,NA,NA
"LAO","Laos","Asia","2020-03-29",28.7,22.92,26.19,0,100,1,33,1,50,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,0,NA,33,50,25,1,0,NA,0,NA,8,0,1.143,NA,NA,NA,1.084,0,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,NA,NA,NA,NA
"LAO","Laos","Asia","2020-03-30",96.3,71.88,82.14,0,100,1,100,1,100,1,100,1,100,1,66,1,100,1,100,0,NA,0,100,1,33,50,100,1,0,NA,100,1,8,0,1.143,NA,NA,NA,1.084,0,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,NA,NA,NA,NA
"LAO","Laos","Asia","2020-03-31",96.3,71.88,82.14,0,100,1,100,1,100,1,100,1,100,1,66,1,100,1,100,0,NA,0,100,1,33,50,100,1,0,NA,100,1,9,1,1,NA,NA,NA,1.22,0.136,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,NA,NA,NA,NA
"LAO","Laos","Asia","2020-04-01",96.3,71.88,82.14,0,100,1,100,1,100,1,100,1,100,1,66,1,100,1,100,0,NA,0,100,1,33,50,100,1,0,NA,100,1,10,1,1,NA,NA,NA,1.355,0.136,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,NA,NA,NA,NA
"LAO","Laos","Asia","2020-04-02",96.3,78.12,82.14,50,100,1,100,1,100,1,100,1,100,1,66,1,100,1,100,0,NA,100,100,1,33,50,100,1,0,NA,100,1,10,0,0.571,NA,NA,NA,1.355,0,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,NA,NA,NA,NA
