"country_code","country_name","continent","date","stringency_index_x","government_response_index","containment_health_index","economic_support_index","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_movementrestrictions","c7_flag","c8_internationaltravel","e1_income_support","e1_flag","e2_debtrelief","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index_y","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"MMR","Myanmar","Asia","2020-03-27",54.63,38.02,43.45,0,100,1,66,1,100,1,75,1,0,NA,0,NA,0,NA,50,0,NA,0,100,1,66,50,0,NA,0,NA,0,NA,8,8,NA,NA,NA,NA,0.146,0.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.63,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,NA,NA,NA,NA
"MMR","Myanmar","Asia","2020-03-28",54.63,38.02,43.45,0,100,1,66,1,100,1,75,1,0,NA,0,NA,0,NA,50,0,NA,0,100,1,66,50,0,NA,0,NA,0,NA,8,0,NA,NA,NA,NA,0.146,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.63,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,NA,NA,NA,NA
"MMR","Myanmar","Asia","2020-03-29",54.63,38.02,43.45,0,100,1,66,1,100,1,75,1,0,NA,0,NA,0,NA,50,0,NA,0,100,1,66,50,0,NA,0,NA,0,NA,10,2,NA,NA,NA,NA,0.182,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.63,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,NA,NA,NA,NA
"MMR","Myanmar","Asia","2020-03-30",57.41,39.58,45.24,0,100,1,66,1,100,1,75,1,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,50,0,NA,0,NA,0,NA,14,4,NA,NA,NA,NA,0.255,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.41,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,NA,NA,NA,NA
"MMR","Myanmar","Asia","2020-03-31",57.41,39.58,45.24,0,100,1,66,1,100,1,75,1,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,50,0,NA,0,NA,0,NA,15,1,NA,1,1,NA,0.274,0.018,NA,0.018,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.41,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,NA,NA,NA,NA
"MMR","Myanmar","Asia","2020-04-01",65.74,44.27,50.6,0,100,1,66,1,100,1,75,1,0,NA,0,NA,100,0,75,0,NA,0,100,1,66,50,0,NA,0,NA,0,NA,15,0,2.143,1,0,0.143,0.274,0,0.039,0.018,0,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.74,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,NA,NA,NA,NA
"MMR","Myanmar","Asia","2020-04-02",65.74,44.27,50.6,0,100,1,66,1,100,1,75,1,0,NA,0,NA,100,0,75,0,NA,0,100,1,66,50,0,NA,0,NA,0,NA,20,5,2.857,1,0,0.143,0.365,0.091,0.052,0.018,0,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.74,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,NA,NA,NA,NA
"MMR","Myanmar","Asia","2020-04-03",65.74,44.27,50.6,0,100,1,66,1,100,1,75,1,0,NA,0,NA,100,0,75,0,NA,0,100,1,66,50,0,NA,0,NA,0,NA,20,0,1.714,1,0,0.143,0.365,0,0.031,0.018,0,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.74,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,NA,NA,NA,NA
"MMR","Myanmar","Asia","2020-04-04",69.44,48.44,55.36,0,100,1,66,1,100,1,75,1,0,NA,33,1,100,0,75,0,NA,0,100,1,66,50,0,NA,0,NA,33,1,21,1,1.857,1,0,0.143,0.383,0.018,0.034,0.018,0,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1183,0.022,NA,NA,NA,NA,NA,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.44,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,NA,NA,NA,NA
"MMR","Myanmar","Asia","2020-04-05",69.44,48.44,55.36,0,100,1,66,1,100,1,75,1,0,NA,33,1,100,0,75,0,NA,0,100,1,66,50,0,NA,0,NA,33,1,21,0,1.571,1,0,0.143,0.383,0,0.029,0.018,0,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1246,0.023,0.001,NA,NA,NA,NA,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.44,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,NA,NA,NA,NA
