"country_code","country_name","continent","date","stringency_index_x","government_response_index","containment_health_index","economic_support_index","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_movementrestrictions","c7_flag","c8_internationaltravel","e1_income_support","e1_flag","e2_debtrelief","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index_y","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"SYC","Seychelles","Africa","2020-03-15",25,24.48,27.98,0,0,NA,0,NA,50,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,100,0,NA,0,NA,0,NA,6,6,NA,NA,NA,NA,60.661,60.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA,NA
"SYC","Seychelles","Africa","2020-03-16",34.26,29.69,33.93,0,100,0,0,NA,50,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,100,0,NA,0,NA,0,NA,8,2,NA,NA,NA,NA,80.882,20.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA,NA
"SYC","Seychelles","Africa","2020-03-17",34.26,29.69,33.93,0,100,0,0,NA,50,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,100,0,NA,0,NA,0,NA,8,0,NA,NA,NA,NA,80.882,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA,NA
"SYC","Seychelles","Africa","2020-03-18",34.26,29.69,33.93,0,100,0,0,NA,50,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,100,0,NA,0,NA,0,NA,10,2,NA,NA,NA,NA,101.102,20.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA,NA
"SYC","Seychelles","Africa","2020-03-19",34.26,29.69,33.93,0,100,0,0,NA,50,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,100,0,NA,0,NA,0,NA,10,0,NA,NA,NA,NA,101.102,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA,NA
"SYC","Seychelles","Africa","2020-03-20",34.26,29.69,33.93,0,100,0,0,NA,50,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,100,0,NA,0,NA,0,NA,10,0,1.429,NA,NA,NA,101.102,0,14.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA,NA
"SYC","Seychelles","Africa","2020-03-21",34.26,29.69,33.93,0,100,0,0,NA,50,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,100,0,NA,0,NA,0,NA,7,-3,1,NA,NA,NA,70.771,-30.331,10.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA,NA
"SYC","Seychelles","Africa","2020-03-22",39.81,32.81,37.5,0,100,0,0,NA,100,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,100,0,NA,0,NA,0,NA,7,0,0.143,NA,NA,NA,70.771,0,1.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.81,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA,NA
"SYC","Seychelles","Africa","2020-03-23",41.67,33.85,38.69,0,100,1,0,NA,100,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,100,0,NA,0,NA,0,NA,7,0,-0.143,NA,NA,NA,70.771,0,-1.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.67,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA,NA
"SYC","Seychelles","Africa","2020-03-24",41.67,33.85,38.69,0,100,1,0,NA,100,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,100,0,NA,0,NA,0,NA,7,0,-0.143,NA,NA,NA,70.771,0,-1.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.67,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA,NA
"SYC","Seychelles","Africa","2020-03-25",41.67,33.85,38.69,0,100,1,0,NA,100,1,0,NA,0,NA,0,NA,0,NA,75,0,NA,0,100,1,66,100,0,NA,0,NA,0,NA,7,0,-0.429,NA,NA,NA,70.771,0,-4.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.67,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA,NA
